ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,BMI,discretized_Year
16,Juhamatti Tapio Aaltonen,1,0.32500000000000007,28,7,0.875,1,5,24,213,0,0.3115671171639338,2
20,Kjetil Andr Aamodt,1,0.375,63,1,0.125,1,4,0,4,2,0.3742015083579068,0
20,Kjetil Andr Aamodt,1,0.375,63,1,0.125,1,4,0,0,2,0.3742015083579068,0
20,Kjetil Andr Aamodt,1,0.4750000000000001,63,3,0.375,1,7,0,4,2,0.3742015083579068,1
21,Ragnhild Margrethe Aamodt,0,0.30000000000000004,63,4,0.5,0,1,22,210,2,0.25601247917614767,1
62,Giovanni Abagnale,1,0.15000000000000002,42,8,1.0,0,3,30,240,0,0.2538907133629479,2
63,Jos Luis Abajo Gmez,1,0.375,24,4,0.5,0,1,16,173,0,0.2581657936005326,1
65,Patimat Abakarova,0,0.15000000000000002,5,8,1.0,0,3,43,359,0,0.12083659896212301,2
67,Mariya Vasilyevna Abakumova (-Tarabina),0,0.17500000000000004,74,4,0.5,0,1,2,53,1,0.3078555551575345,1
72,Aleksey Aleksandrovich Abalmasov,1,0.32500000000000007,8,4,0.5,0,1,10,106,2,0.32527725725186774,1
73,Luc Abalo,1,0.20000000000000007,29,4,0.5,0,1,22,209,2,0.3345549970960442,1
73,Luc Abalo,1,0.30000000000000004,29,6,0.75,0,2,22,209,2,0.3345549970960442,2
73,Luc Abalo,1,0.4,29,8,1.0,0,3,22,209,1,0.3345549970960442,2
76,Jouan Patrice Abanda Etong,1,0.17500000000000004,16,0,0.0,0,6,18,185,2,0.28078374933645,0
84,Stephen Anthony Abas,1,0.275,92,2,0.25,0,0,50,391,1,0.17997176091804523,0
90,Tamila Rashidovna Abasova,0,0.15000000000000002,74,2,0.25,0,0,13,153,1,0.24385178754443682,0
93,Jol Marc Abati,1,0.5750000000000001,29,4,0.5,0,1,22,209,2,0.26969148666949916,1
106,Agostino Abbagnale,1,0.4750000000000001,42,0,0.0,0,6,30,244,2,0.3667155517483699,0
143,"Desmond ""Des"" Abbott",1,0.15000000000000002,3,4,0.5,0,1,23,211,0,0.3274181212621733,1
145,Jeremy Abbott,1,0.32500000000000007,92,7,0.875,1,5,17,183,0,0.2512155512744657,2
153,Monica Cecilia Abbott,0,0.20000000000000007,92,4,0.5,0,1,38,304,1,0.28515884292296334,1
165,Nia Nicole Abdallah,0,0.125,92,2,0.25,0,0,43,358,1,0.1285523296173242,0
250,Saeid Morad Abdevali,1,0.275,39,8,1.0,0,3,50,400,0,0.3806698163451513,2
337,Mukhammad Kadyr Abdullayev,1,0.275,93,0,0.0,0,6,9,89,2,0.22977386036296832,0
339,Namiq Yadulla Abdullayev,1,0.3500000000000001,5,0,0.0,0,6,50,390,2,0.16706573993826657,0
351,Julius Shareef Abdur-Rahim,1,0.20000000000000007,92,0,0.0,0,6,5,64,2,0.3218001127025042,0
357,Yusup Abdusalomov,1,0.375,84,4,0.5,0,1,50,395,1,0.4178083350129711,1
395,Jennifer Abel,0,0.125,12,6,0.75,0,2,14,162,0,0.287750983506329,2
411,Gezahgne Abera,1,0.17500000000000004,26,0,0.0,0,6,2,33,2,0.20267285886006858,0
423,Michael Brent Abernathy,1,0.17500000000000004,92,0,0.0,0,6,4,63,2,0.3183537051400608,0
428,Elvan Abeylegesse,0,0.25,89,4,0.5,0,1,2,47,1,0.06244878419361094,1
455,Denis Mikhaylovich Ablyazin,1,0.10000000000000003,74,6,0.75,0,2,21,196,0,0.27970336402767704,2
455,Denis Mikhaylovich Ablyazin,1,0.10000000000000003,74,6,0.75,0,2,21,198,1,0.27970336402767704,2
455,Denis Mikhaylovich Ablyazin,1,0.2250000000000001,74,8,1.0,0,3,21,203,1,0.27970336402767704,2
455,Denis Mikhaylovich Ablyazin,1,0.2250000000000001,74,8,1.0,0,3,21,198,1,0.27970336402767704,2
455,Denis Mikhaylovich Ablyazin,1,0.2250000000000001,74,8,1.0,0,3,21,202,0,0.27970336402767704,2
465,"Matthew ""Matt"" Abood",1,0.375,3,8,1.0,0,3,40,326,0,0.27398832336443724,2
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,1,0.15000000000000002,23,6,0.75,0,2,16,169,1,0.2983890415521563,2
